epoch,train_mse,val_mse,lr,elapsed_s
1,0.805681578491045,1.1176112866590893,0.001,111.19322087592445
2,0.7154391367242944,1.1222033197917636,0.001,223.2879770230502
3,0.6762649985203831,1.0612495106364053,0.001,319.14316400606185
4,0.656831817134567,1.099918447316639,0.001,429.2157142381184
5,0.6391333324938827,1.139602592067113,0.001,533.5520998591091
6,0.6309642706598554,1.0368682638047233,0.001,648.4359673890285
7,0.6193997303706519,1.1347153423324463,0.001,778.6809441850055
8,0.6109404972991588,1.1065650445128243,0.001,893.2801324680913
9,0.6054407385935695,1.165267441007826,0.001,1008.0863876200747
10,0.5935234360813354,1.1944281619692605,0.001,1123.1974701760337
11,0.5927534402342316,1.0959669663792564,0.001,1237.821987630101
12,0.5796245116254558,1.1712241910752796,0.0005,1352.3717971560545
13,0.5513243768711268,1.1691798955675154,0.0005,1466.6675551570952
14,0.5430809289957426,1.2442785066271584,0.0005,1580.9404953550547
15,0.5359490705387933,1.2131485106453064,0.0005,1695.4907861750107
16,0.532191516819948,1.2516425914234586,0.0005,1810.1273904729169
